"division","semana","fecha","tipo_personal","n_trabajador_promedio_faena","casos_vigentes_minsal_acumulados","casos_vigentes_codelco_acumulados","total_casos_nuevos_confirmados_sint","total_casos_nuevos_confirmados_asint","total_pcr_realizadas","total_pcr_positivas","total_anticuerpo_realizadas","total_anticuerpo_positivas","total_antigeno_realizadas","total_antigeno_positivas","total_antigeno_pcr_positivas","n_contagio_laboral","total_casos_nuevos","sem_epidem","casos_nuevos_division_x10000","porc_casos_acum_codelco_division"
"CM","29",2020-07-13,"Propios",537,"0","0","0","0","0","0","0","0","0","0","0","0",0,"29",0,0
"CM","29",2020-07-13,"Contratistas",193,"1","1","0","0","0","0","0","0","0","0","0","0",0,"29",0,0.52
"CM","29",2020-07-14,"Propios",537,"0","0","0","0","0","0","0","0","0","0","0","0",0,"29",0,0
"CM","29",2020-07-14,"Contratistas",193,"1","1","0","0","0","0","0","0","0","0","0","0",0,"29",0,0.52
"CM","29",2020-07-15,"Propios",537,"0","0","0","0","0","0","0","0","0","0","0","0",0,"29",0,0
"CM","29",2020-07-15,"Contratistas",193,"1","1","0","0","0","0","0","0","0","0","0","0",0,"29",0,0.52
"CM","29",2020-07-16,"Propios",537,"0","0","0","0","0","0","0","0","0","0","0","0",0,"29",0,0
"CM","29",2020-07-16,"Contratistas",193,"1","1","0","0","0","0","0","0","0","0","0","0",0,"29",0,0.52
"CM","29",2020-07-17,"Propios",537,"0","0","0","0","0","0","0","0","0","0","0","0",0,"29",0,0
"CM","29",2020-07-17,"Contratistas",193,"1","3","0","0","0","0","0","0","0","0","0","0",0,"29",0,1.55
"CM","29",2020-07-18,"Propios",537,"0","0","0","0","0","0","0","0","0","0","0","0",0,"29",0,0
"CM","29",2020-07-18,"Contratistas",193,"1","3","0","0","0","0","0","0","0","0","0","0",0,"29",0,1.55
"CM","29",2020-07-19,"Propios",537,"0","0","0","0","0","0","0","0","0","0","0","0",0,"30",0,0
"CM","29",2020-07-19,"Contratistas",193,"1","3","0","0","0","0","0","0","0","0","0","0",0,"30",0,1.55
"DCH","29",2020-07-13,"Propios",4899,"450","575","2","4","47","6","0","0","39","5","0",NA,6,"29",12.25,11.74
"DCH","29",2020-07-13,"Contratistas",5178,"96","141","1","0","3","1","0","0","22","2","0",NA,1,"29",1.93,2.72
"DCH","29",2020-07-14,"Propios",4899,"452","578","1","3","119","4","0","0","25","2","0",NA,4,"29",8.16,11.8
"DCH","29",2020-07-14,"Contratistas",5178,"96","147","0","0","8","0","0","0","27","0","0",NA,0,"29",0,2.84
"DCH","29",2020-07-15,"Propios",4899,"453","585","0","7","75","7","0","0","8","0","0",NA,7,"29",14.29,11.94
"DCH","29",2020-07-15,"Contratistas",5178,"97","153","0","0","4","0","31","6","184","16","0",NA,0,"29",0,2.95
"DCH","29",2020-07-16,"Propios",4899,"458","593","2","7","99","9","0","0","0","0","0",NA,9,"29",18.37,12.1
"DCH","29",2020-07-16,"Contratistas",5178,"98","153","1","0","5","1","27","0","48","0","0",NA,1,"29",1.93,2.95
"DCH","29",2020-07-17,"Propios",4899,"469","597","0","4","50","4","0","0","18","0","0",NA,4,"29",8.16,12.19
"DCH","29",2020-07-17,"Contratistas",5178,"98","153","0","0","2","0","28","5","99","3","0",NA,0,"29",0,2.95
"DCH","29",2020-07-18,"Propios",4899,"516","603","1","4","59","5","0","0","102","20","1",NA,5,"29",10.21,12.31
"DCH","29",2020-07-18,"Contratistas",5178,"99","155","2","0","4","2","29","0","18","1","0",NA,2,"29",3.86,2.99
"DCH","29",2020-07-19,"Propios",4899,"523","603","1","0","94","1","0","0","77","4","0",NA,1,"30",2.04,12.31
"DCH","29",2020-07-19,"Contratistas",5178,"99","155","0","0","4","0","38","2","0","0","0",NA,0,"30",0,2.99
"DET","29",2020-07-13,"Propios",1640,"130","208","1","0","1","1","0","0","188","1","1","4",1,"29",6.1,12.68
"DET","29",2020-07-13,"Contratistas",4616,"71","122","5","0",NA,"5","22","3","214","1","1",NA,5,"29",10.83,2.64
"DET","29",2020-07-14,"Propios",1671,"121","192","3","1","5","4","0","0","197","4","2","8",4,"29",23.94,11.49
"DET","29",2020-07-14,"Contratistas",4743,"72","186","4","1",NA,"5","16","9","242","7","1",NA,5,"29",10.54,3.92
"DET","29",2020-07-15,"Propios",1744,"110","178","6","0","7","6","0","0","143","0","0","0",6,"29",34.4,10.21
"DET","29",2020-07-15,"Contratistas",4767,"74","115","6","1",NA,"7","0","0","229","10","7",NA,7,"29",14.68,2.41
"DET","29",2020-07-16,"Propios",1235,"101","165","2","0",NA,"2","0","0","113","2","2","0",2,"29",16.19,13.36
"DET","29",2020-07-16,"Contratistas",3268,"70","109","1","0",NA,"1","0","0","85","1","0",NA,1,"29",3.06,3.34
"DET","29",2020-07-17,"Propios",1688,"91","148","1","2",NA,"3","0","0","228","2","0","0",3,"29",17.77,8.77
"DET","29",2020-07-17,"Contratistas",4550,"70","105","5","1",NA,"6","89","6","131","4","0",NA,6,"29",13.19,2.31
"DET","29",2020-07-18,"Propios",1178,"89","141","2","1","4","3","0","0","215","2","1","0",3,"29",25.47,11.97
"DET","29",2020-07-18,"Contratistas",2856,"72","104","1","4",NA,"5","0","0","109","1","0",NA,5,"29",17.51,3.64
"DET","29",2020-07-19,"Propios",1190,"88","139","4","1","9","5","0","0","206","1","0","0",5,"30",42.02,11.68
"DET","29",2020-07-19,"Contratistas",2475,"67","99","0","1",NA,"1","0","0","76","2","0",NA,1,"30",4.04,4
"DGM","29",2020-07-13,"Propios",145,"6","0","2","0","1","2","49","4","0","0","0","0",2,"29",137.93,0
"DGM","29",2020-07-13,"Contratistas",760,"37","0","2","3","9","5","29","5","70","2","1","0",5,"29",65.79,0
"DGM","29",2020-07-14,"Propios",145,"5","0","0","0","0","0","46","4","0","0","0","0",0,"29",0,0
"DGM","29",2020-07-14,"Contratistas",760,"32","6","1","0","12","1","9","0","63","0","0","0",1,"29",13.16,0.79
"DGM","29",2020-07-15,"Propios",145,"4","5","0","0","0","0","82","5","0","0","0","0",0,"29",0,3.45
"DGM","29",2020-07-15,"Contratistas",760,"29","20","3","3","15","6","11","1","56","0","0","0",6,"29",78.95,2.63
"DGM","29",2020-07-16,"Propios",145,"4","0","1","0","0","1","34","3","0","0","0","0",1,"29",68.97,0
"DGM","29",2020-07-16,"Contratistas",760,"23","11","0","0","10","0","3","0","49","0","0","0",0,"29",0,1.45
"DGM","29",2020-07-17,"Propios",117,"3","2","0","0","1","0","14","0","0","0","0","0",0,"29",0,1.71
"DGM","29",2020-07-17,"Contratistas",670,"20","2","0","0","7","0","65","22","53","0","0","0",0,"29",0,0.3
"DGM","29",2020-07-18,"Propios",117,"3","0","0","0","0","0","0","0","0","0","0","0",0,"29",0,0
"DGM","29",2020-07-18,"Contratistas",670,"20","5","2","0","2","2","67","16","50","0","0","0",2,"29",29.85,0.75
"DGM","29",2020-07-19,"Propios",117,"3","0","0","0","0","0","2","0","0","0","0","0",0,"30",0,0
"DGM","29",2020-07-19,"Contratistas",670,"17","0","0","0","3","0","65","8","63","1","0","0",0,"30",0,0
"DMH","29",2020-07-13,"Propios",668,"3","17","0","0","0","0","62","11","82","4","0","0",0,"29",0,2.54
"DMH","29",2020-07-13,"Contratistas",2520,"24","95","1","4","5","5","17","4","60","2","1","0",5,"29",19.84,3.77
"DMH","29",2020-07-14,"Propios",668,"3","17","0","0","0","0","6","0","50","0","0","0",0,"29",0,2.54
"DMH","29",2020-07-14,"Contratistas",2520,"26","96","2","3","9","4","19","11","67","1","0","0",5,"29",19.84,3.81
"DMH","29",2020-07-15,"Propios",668,"3","17","0","0","0","0","2","0","10","1","0","0",0,"29",0,2.54
"DMH","29",2020-07-15,"Contratistas",2520,"29","96","2","2","4","3","24","8","53","4","0","0",4,"29",15.87,3.81
"DMH","29",2020-07-16,"Propios",668,"2","17","0","0","0","0","0","0","0","0","0","0",0,"29",0,2.54
"DMH","29",2020-07-16,"Contratistas",2520,"21","95","0","0","5","2","23","12","33","0","0","0",0,"29",0,3.77
"DMH","29",2020-07-17,"Propios",668,"1","18","0","1","1","1","12","1","1","0","1","0",1,"29",14.97,2.69
"DMH","29",2020-07-17,"Contratistas",2520,"23","98","3","2","11","6","4","2","37","4","3","1",5,"29",19.84,3.89
"DMH","29",2020-07-18,"Propios",668,"2","18","0","0","0","0","28","0","29","0","0","0",0,"29",0,2.69
"DMH","29",2020-07-18,"Contratistas",2520,"24","100","1","3","6","0","3","1","19","1","3","1",4,"29",15.87,3.97
"DMH","29",2020-07-19,"Propios",668,"2","18","0","0","0","0","29","6","74","1","0","0",0,"30",0,2.69
"DMH","29",2020-07-19,"Contratistas",2520,"24","103","1","3","2","1","1","0","14","0","1","2",4,"30",15.87,4.09
"DRT","29",2020-07-13,"Propios",1218,"12","43","1","0",NA,NA,"7","0","0","0","0","0",1,"29",8.21,3.53
"DRT","29",2020-07-13,"Contratistas",4710,"14","75","2","1",NA,NA,"3","0","0","0","0","0",3,"29",6.37,1.59
