"division","semana","fecha","tipo_personal","n_trabajador_promedio_faena","casos_vigentes_minsal_acumulados","casos_vigentes_codelco_acumulados","total_casos_nuevos_confirmados_sint","total_casos_nuevos_confirmados_asint","total_pcr_realizadas","total_pcr_positivas","total_anticuerpo_realizadas","total_anticuerpo_positivas","total_antigeno_realizadas","total_antigeno_positivas","total_antigeno_pcr_positivas","n_contagio_laboral","total_casos_nuevos"
"CM","29",2020-07-13,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","29",2020-07-13,"Contratistas","193","1","1","0","0","0","0","0","0","0","0","0","0",0
"CM","29",2020-07-14,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","29",2020-07-14,"Contratistas","193","1","1","0","0","0","0","0","0","0","0","0","0",0
"CM","29",2020-07-15,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","29",2020-07-15,"Contratistas","193","1","1","0","0","0","0","0","0","0","0","0","0",0
"CM","29",2020-07-16,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","29",2020-07-16,"Contratistas","193","1","1","0","0","0","0","0","0","0","0","0","0",0
"CM","29",2020-07-17,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","29",2020-07-17,"Contratistas","193","1","3","0","0","0","0","0","0","0","0","0","0",0
"CM","29",2020-07-18,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","29",2020-07-18,"Contratistas","193","1","3","0","0","0","0","0","0","0","0","0","0",0
"CM","29",2020-07-19,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","29",2020-07-19,"Contratistas","193","1","3","0","0","0","0","0","0","0","0","0","0",0
"DCH","29",2020-07-13,"Propios",NA,"450","575","2","4","47","6","0","0","39","5","0",NA,6
"DCH","29",2020-07-13,"Contratistas",NA,"96","141","1","0","3","1","0","0","22","2","0",NA,1
"DCH","29",2020-07-14,"Propios",NA,"452","578","1","3","119","4","0","0","25","2","0",NA,4
"DCH","29",2020-07-14,"Contratistas",NA,"96","147","0","0","8","0","0","0","27","0","0",NA,0
"DCH","29",2020-07-15,"Propios",NA,"453","585","0","7","75","7","0","0","8","0","0",NA,7
"DCH","29",2020-07-15,"Contratistas",NA,"97","153","0","0","4","0","31","6","184","16","0",NA,0
"DCH","29",2020-07-16,"Propios",NA,"458","593","2","7","99","9","0","0","0","0","0",NA,9
"DCH","29",2020-07-16,"Contratistas",NA,"98","153","1","0","5","1","27","0","48","0","0",NA,1
"DCH","29",2020-07-17,"Propios",NA,"469","597","0","4","50","4","0","0","18","0","0",NA,4
"DCH","29",2020-07-17,"Contratistas",NA,"98","153","0","0","2","0","28","5","99","3","0",NA,0
"DCH","29",2020-07-18,"Propios",NA,"516","603","1","4","59","5","0","0","102","20","1",NA,5
"DCH","29",2020-07-18,"Contratistas",NA,"99","155","2","0","4","2","29","0","18","1","0",NA,2
"DCH","29",2020-07-19,"Propios",NA,"523","603","1","0","94","1","0","0","77","4","0",NA,1
"DCH","29",2020-07-19,"Contratistas",NA,"99","155","0","0","4","0","38","2","0","0","0",NA,0
"DET","29",2020-07-13,"Propios","1640","130","208","1","0","1","1","0","0","188","1","1","4",1
"DET","29",2020-07-13,"Contratistas","4616","71","122","5","0",NA,"5","22","3","214","1","1",NA,5
"DET","29",2020-07-14,"Propios","1671","121","192","3","1","5","4","0","0","197","4","2","8",4
"DET","29",2020-07-14,"Contratistas","4743","72","186","4","1",NA,"5","16","9","242","7","1",NA,5
"DET","29",2020-07-15,"Propios","1744","110","178","6","0","7","6","0","0","143","0","0","0",6
"DET","29",2020-07-15,"Contratistas","4767","74","115","6","1",NA,"7","0","0","229","10","7",NA,7
"DET","29",2020-07-16,"Propios","1235","101","165","2","0",NA,"2","0","0","113","2","2","0",2
"DET","29",2020-07-16,"Contratistas","3268","70","109","1","0",NA,"1","0","0","85","1","0",NA,1
